0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,"<b>Level 5:  Optimizing</b>
- Process improvement objectives for the process are defined that support the relevant business goals.
- Appropriate data are analysed to identify common causes of variations in process performance.
- Appropriate data are analysed to identify opportunities for best practice and innovation.
- Improvement opportunities derived from new technologies and process concepts are identified.
- An implementation strategy is established to achieve the process improvement objectives.

Continuous optimization (PA 5.2):
- Impact of all proposed changes is assessed against the objectives of the defined process and standard process.
- Implementation of all agreed changes is managed to ensure that any disruption to the process performance is understood
and acted on.
- Based on actual performance, effectiveness of process change is evaluated against the defined product requirements and
process objectives to determine whether results are due to common or special causes.

This includes, among others, the following documents (GWP):
+ Process improvement plan
+ Process measurement plan
+ Process implementation records",,,,,,
,,,,,,,,,
100.2,100.2 Requirement level,3,<b>Explanation of requirements</b>,,,,,,
,,,,,,,,,
,,,"Different levels of protection needs and special characteristics of organizations are reflected by different requirements. For the purpose of describing the requirements for the respective control, differences are made between the following five requirement types:

- This must include
- This should include
- This may include
- Additionally in case of high protection needs
- Additionally in case of very high protection needs

The interpretation of the respective requirement category is to be understood as follows.",,,,,,
,,,,,,,,,
,,,"<b>“This must include“</b>
Requirements of the category „This must include“ are mandatory requirements without any exceptions.",,,,,,
,,,,,,,,,
,,,"<b>„This should include“</b>
Requirements of the category „This should include“ are in general to be implemented by the organization in general. In certain circumstances, however, there may be a valid justification for non-compliance with requirements of the category „This should include“. In case of any deviation, its effects shall be understood by the organization and it shall be plausibly justified.",,,,,,
,,,,,,,,,
,,,"<b>“This may include“</b>
Requirements of the category „This may include“ are optional. They show examples and possibilities to provide guidance for the implementation of a control.",,,,,,
,,,,,,,,,
,,,"<b>“Additionally in case of high protection needs“</b>
Requirements of the category „Additionally in case of high protection needs“ must additionally be met where the assessment level incorporates high protection needs. ",,,,,,
,,,,,,,,,
,,,"<b>“Additionally in case of very high protection needs“</b>
Requirements of the category „Additionally in case of very high protection needs“ must additionally be met where the assessment level  incorporates very high protection needs. ",,,,,,
,,,,,,,,,
100.3,100.3 KPIs,3,,,,,,,
100.3.1,100.3.1 Coverage degree of awareness measures,3,7.2 Awareness and training of employees,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Employees with raised awareness represent an important pillar for the information security in a company. Awareness measures should reach all employees, as far as possible. The KPI measures the coverage degree of trainings such as e-learnings, classroom trainings.",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All employees are trained with respect to information security,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security; supervisors,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,"Analysis training management
Quotient: number of participants/total number of employees",,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,HR - Training Department - IKS - Internal Audit Department,,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"E-learnings, classroom training, training plan, training register",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.2,100.3.2 Effectiveness of awareness measures,3,7.2 Awareness and training of employees,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,The contents of awareness measures should consider outcomes of information security incidents. The KPI measures the effectiveness of awareness measures by collection (number or cost based) of security incidents with human errors as a cause.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,No information security incidents with human error as a cause,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (0-20…low, 20-50 medium, 50+ high)
possible characteristic for comparability of business units: in relation to the number of employees e.g. unit: incidents/100 employees",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Determining the number of security incidents with human error as a cause,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,Incident Managment,,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Incident Mgt. Tool, Ticket System, ISMS Tool",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.3,100.3.3 Coverage degree review „user accounts“,3,9.2 User registration,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Regular reviews of systems for unnecessary accounts is a prerequisite for a consistent and current user basis according to the need-to-know principle. The KPI measures the coverage degree of the measure „regular user review“,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All systems have valid user accounts only,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%, special case of systems relevant to financial reporting: target coverage",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of performed reviews/total number of systems in scope,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Data Owner, User Management, supervisors",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"User directory, authorization management tool, IAM platform, CMDB",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.4,100.3.4 Coverage degree review „authorizations“,3,9.2 User registration,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Regular reviews of user accounts for unnecessary authorizations is a prerequisite for a consistent and current authorization basis according to the need-to-know principle. The KPI measures the coverage degree of the measure „regular authorization review“.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All authorizations comply with current needs,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%, special case of systems relevant to financial reporting: target coverage",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of performed reviews/total number of users in scope,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Data Owner, User Management, supervisors",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"User directory, authorization management tool, IAM platform, CMDB",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.5,100.3.5 Collective accounts,3,9.2 User registration,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Collective accounts should principally not be used or used only in exceptional cases since an explicit allocation of user activities is impeded. The KPI measures the number of used collection accounts in consideration of approved exceptions.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All collective accounts are reviewed for their need,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"Number red: > 0,Green = 0",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,collecting the number of  collective accounts (adjusted for authorized exceptions),,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,User Management,,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"User directory, authorization management tool, IAM platform, CMDB",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.6,100.3.6 Coverage degree Change Management,3,12.1 Change management,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,A comprehensive and consistently adhered change management process is the basis for secure operation. The KPI measures the coverage degree of changes that are compliant with the guidelines.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Guidelines-compliant performance of all changes,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,Information Security,,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%, special case of systems relevant to financial reporting: target coverage 100%",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of approved and requested changes (RFC)/total number of performed changes,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT Operations, Change Management",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Project Management, Change Management",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.7,100.3.7 Change - error rate,3,12.1 Change management,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,4,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,A high quality of the change management process leads to lower error rates of the performed changes and contributes to secure operation. The KPI measures the error rate of changes.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Error-free performance of changes,,,,,,
